Ticker,Name,Sector,Industry,Price,Collection,Ratios Code
MET,"MetLife, Inc.",Financial,Life Insurance,WIKI/MET,stocks/met,DMDRN/MET_ALLFINANCIALRATIOS
MHK,Mohawk Industries Inc.,Consumer Goods,Home Furnishings & Fixtures,WIKI/MHK,stocks/mhk,DMDRN/MHK_ALLFINANCIALRATIOS
MJN,Mead Johnson Nutrition Company,Consumer Goods,Processed & Packaged Goods,WIKI/MJN,stocks/mjn,DMDRN/MJN_ALLFINANCIALRATIOS
MKC,"McCormick & Company, Incorporated",Consumer Goods,Processed & Packaged Goods,WIKI/MKC,stocks/mkc,DMDRN/MKC_ALLFINANCIALRATIOS
MLM,Martin Marietta Materials Inc.,Industrial Goods,General Building Materials,WIKI/MLM,stocks/mlm,DMDRN/MLM_ALLFINANCIALRATIOS
MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,WIKI/MMC,stocks/mmc,DMDRN/MMC_ALLFINANCIALRATIOS
MMM,3M Company,Industrial Goods,Diversified Machinery,WIKI/MMM,stocks/mmm,DMDRN/MMM_ALLFINANCIALRATIOS
MNST,Monster Beverage Corporation,Consumer Goods,Beverages - Soft Drinks,WIKI/MNST,stocks/mnst,DMDRN/MNST_ALLFINANCIALRATIOS
MO,Altria Group Inc.,Consumer Goods,Cigarettes,WIKI/MO,stocks/mo,DMDRN/MO_ALLFINANCIALRATIOS
MON,Monsanto Company,Basic Materials,Agricultural Chemicals,WIKI/MON,stocks/mon,DMDRN/MON_ALLFINANCIALRATIOS
MOS,The Mosaic Company,Basic Materials,Agricultural Chemicals,WIKI/MOS,stocks/mos,DMDRN/MOS_ALLFINANCIALRATIOS
MPC,Marathon Petroleum Corporation,Basic Materials,Oil & Gas Refining & Marketing,WIKI/MPC,stocks/mpc,DMDRN/MPC_ALLFINANCIALRATIOS
MRK,Merck & Co. Inc.,Healthcare,Drug Manufacturers - Major,WIKI/MRK,stocks/mrk,DMDRN/MRK_ALLFINANCIALRATIOS
MSFT,Microsoft Corporation,Technology,Business Software & Services,WIKI/MSFT,stocks/msft,DMDRN/MSFT_ALLFINANCIALRATIOS
NDAQ,"The Nasdaq OMX Group, Inc.",Financial,Diversified Investments,WIKI/NDAQ,stocks/ndaq,DMDRN/NDAQ_ALLFINANCIALRATIOS
